category,englishExample,englishMeaning,headword,hindiExample,hindiMeaning,kashmiriExample
V,He is lodging in a family as a paying guest.,lodge,ٹٔھہرِتھ،روٗزِتھ,,ठहरना,
V,I lodged my money in the bank.,lodge,جَمع تھاوُن,,जमा_करना,
N,Board and lodging will be taken care of by the society.,lodging,کِرایِہ پٮ۪ٹھ کَمرٕ,,अस्थायी_निवास_स्थान,
N,Logs of wood are often used as beams in rural houses.,log,موٚنڈ,,तना,
N,The driver maintains a logbook.,log,لاگ بُک,,रोजनामचा,
V,"In protected forests, trees are logged with the convenience of the forest guards.",log,ژَٹٕنۍ,,वृक्ष_काटना,
N,He is studying logic.,logic,مَنٛطِق,,तर्क-शास्त्र,
N,I am poor at mathematical logic.,logic,مَنٛطِق,,गणितीय_तर्क,
N,Your logic does not convince me.,logic,قٲیِل کَرنٕچ صَلاحِیَت,,तर्क,
N,I don`t understand the logic of a computer program.,logic,۔۔۔,,गणक_तर्क,
Adj,His arguments were very logical.,logical,مَنٛطقی,,तार्कक,
Adj,He leads a lonely life.,lonely,تَنہِ تَنہا,,एकाकी,
Adj,I saw her after a long time.,long,زیوٗٹھ,,लम्बा,
N,It shouldn`t take long for you to solve the problem.,long,زیادٕکال,,लम्बा_समय,
Adv,Stay here as long as you like.,long,واریاہَس وَقتَس تام,,लम्बे_समय_तक,
V,I long to be there for the rest of my life.,long,یَژُھن،یَژھان,,इच्छा_करना,
V,Please look at it.,look,وٕچھُن,,देखना,
V,I am looking for a job.,look,ژھانٛڑُن,,तलाशना,
V,Look at these reports carefully.,look,غور کَرُن،وٕچُھن,,ध्यान_देना,
V,He looks so much like his father.,look,باسُن,,दिखाई_देना,
V,The school looks towards the garden.,look,بُتھ آسُن,,दिशा_की_ओर_होना,
N,Have a look at this book.,look,نَظَر,,दृष्टि,
N,He gave me pleasant look.,look,نَظَر,,अवलोकन,
N,She is in new look.,look,فٲشن,,फैशन,
N,She has a new look hairstyle.,look,قٕسٕم،قسمُک,,शैली,
N,I have had a good look at the shelf but I could`nt get that book.,look,ژھٲنٛڈ,,तलाश,
N,Handloom cloth is woven on handloom.,loom,لوٗم,,करघा,
V,Dark storm clouds loomed on the horizon.,loom,گوٚٹ تہٕ بوٚڑ نَظرِ یُن,,अस्पष्ट_छाया_दीखना,
V,The possibility of a sense storm loomed large in the eastern horizon.,loom,۔۔۔,,सम्भावना_होना,
N,The plane flew in a loop.,loop,۔۔۔,,घुमावदार_वक्त,
N,I need a loop to hang someone.,loop,پَھنٛدٕ,,फन्दा,
N,Do have a loop of electric current?,loop,تار,,परिपथ,
V,Electric wire has been looped around the branches of the tree to hang bulbs.,loop,وَلُن,,फन्दा_बनाना,
V,Loop the rope firmly round the log.,loop,گَنٛڈٕنۍ,,फन्दा_डालकर_बाँधना,
Adj,She was wearing a loose coat.,loose,کھوٚل,,ढीला,
Adj,The dog is roaming loose on the road.,loose,آوارٕ،یَلہٕ،آزاد,,बन्धनमुक्त_हुआ,
Adj,I need some loose papers.,loose,یَلہٕ,,अलग-अलग,
Adj,They have entered into a loose alliance.,loose,غیر زِمہٕ دارانہٕ,,अव्यवस्थित,
Adj,She has got loose thinking.,loose,غیر اِخلٲقی,,असंपत,
N,"He is the lord of this area, so everybody has to obey him.",lord,حٲکِم,,अधिपति,
N,The British Lords were not so good.,lord,اعلٰی،حٲکِم,,सामन्त,
N,We must praise the Lord every time.,lord,خُدا,,प्रभु,
N,They are the Lords of the treasury.,lord,حٲکِم,,लार्ड{उपाधि},
V,The goons lord over the local residents.,lord,حُکوٗمت کَرٕنۍ,,अधिपत्य_दिखाना,
V,He lost his pen.,lose,راوُن,,खो_देना,
V,He lost a leg in the accident.,lose,ژھیٚنُن,,गँवा_देना,
V,He has lost his confidence.,lose,مۄکلُن,,मिट_जाना,
V,They lost the series by 2-0.,lose,ہارُن,,हार_जाना,
V,Twenty minutes were lost due to the drizzle.,lose,زایہِ گَژُھن,,बरबाद_होना,
V,My watch loses two minutes every twenty-four hours.,lose,پَتھ گَژُھن,,पीछे_हो_जाना,
N,The company has suffered huge losses.,loss,گاٹہٕ،نۄقصان,,घाटा,
N,The loss of life and property was unprecedented in the last earthquake.,loss,نۄقصان,,हानि,
N,His departure will be a big loss to the company.,loss,ہار,,अभाव,
Adj,It is a lost case.,lost,ہورمُت,,हारा_हुआ,
Adj,How could I get my lost property.,lost,اَتھہٕ گٔمٕژ،رٲومٕژ,,खोया_हुआ,
Adj,His is a lost case.,lost,ہورمُت،گوٚمُت,,गँवाया_हुआ,
N,This lot is meant for him.,lot,ڈیر,,ढेर,
N,Lots of people come to this temple every day.,lot,واریاہ,,बहुत_बडी_संख्या,
N,Here is a Parking lot.,lot,جاے,,स्थान_विशेष,
N,I am not happy with my lot.,lot,قٔسمَت,,भाग्य,
Det,I take tea with lots of sugar.,lots,واریاہ،سٮ۪ٹھاہ,,ढेरों,
N,There are lots of books in a library.,lots,سٮ۪ٹھاہ،واریاہ,,ढेरों,
Adj,There was a loud applause when the play ended.,loud,زورٕ،بَڑِ,,ज्रोर_से,
Adj,I like loud music.,loud,بَڑِ، زورٕ,,ऊँचे_स्वर_वाला,
Adv,He speaks very loudly.,loudly,زورٕ سان،واریاہ بَڑِ,,ऊँचे_स्वर_में,
Adj,He speaks very loudly.,loudly,واریاہ بَڑِ،زورٕ,,ऊँचे_स्वर_में,
N,Everything is fear in love and war.,love,عٔشِق،مُحَبَت،لول,,प्रेम,
N,Their love left them indifferent to their surroundings.,love,لول،مُحَبَت،عٔشِق,,प्रेम/प्यार,
N,His love for his work is obvious.,love,ماے،دِلچَسپی,,रुचि,
N,The theater was her first love.,love,مُحبَت,,चाह,
N,It was 40 love.,love,مَنفی,,शून्य,
VTI,I love French food.,love,پَسَنٛد کَرُن،خۄش کَرُن,,पसन्द_करना,
VTI,She loves her husband deeply.,love,مُحبَت کَرُن،لول بَرُن,,प्यार_करना,
Adj,She is a lovely girl.,lovely,حٔسیٖن,,सुन्दर,
Adj,The window offered a lovely view of the lake.,lovely,دِلفَریب،لوٗبہٕ وُن,,मनोहर,
N,Her lover accompanied her to the court.,lover,عاشِق،ماشوق,,प्रेमी,
Adj,We have low ceilings.,low,بۄن,,नीचा,
Adj,Temperature is very low.,low,کَم,,कम,
Adj,She spoke in a low murmur.,low,لۄتہِ,,धीमा,
Adj,The play is low comedy.,low,کَم زیادٕ,,निम्न_श्रेणी_का,
Adv,The branches hung low.,low,بۄن کُن,,नीचे,
Adv,Will you please speak lower?,low,لۄتہِ پہان,,धीरे_से,
VI,Please don`t low.,low,گٲو ہِنٛدۍ پٲٹھۍ ڈاکُر کَڑُن,,बैल_की_तरह_डकारना_या_बोलना,
VTI,Please lower the height of the ceiling.,lower,کَم کَرٕنۍ,,नीचा_करना,
VTI,The prices have been lowered for an election stunt.,lower,کَم کَرنہٕ یِنۍ،گَٹاوٕنۍ,,घटाना,
VTI,He lowered the chair onto the lawns.,lower,والٕنۍ,,उतारना,
Adj,She is my loyal friend.,loyal,وَفادار,,स्वामिभक्त,
N,He proved his loyalty to him by sticking to him during his hard period.,loyalty,وَفادٲری,,स्वामिभक्ति,
N,Bad luck caused his downfall.,luck,قٕسمَت،تَقدیٖر,,भाग्य,
Adj,He considered himself lucky that the tornado missed his house.,lucky,قٕسمَت وول,,भाग्यवान,
N,I will sell the lumber to get some money.,lumber,رٔدی چیٖز,,काठ_कबाड़,
VT,Hari was lumbered with the task of compiling his letters.,lumber,کٲم دِنۍ،بوج ترٛاوُن,,भार_देना,
N,He had a lump of clay in his hand.,lump,دۄگُل,,ढेला,
N,He bumped his head against the wall and soon developed a lump on his forehead.,lump,ٹِنیُل,,गुमड़ा,
VT,Lump together all the application forms.,lump,ڈیر کَرُن,,ढेर_लगाना,
N,I will meet you over lunch.,lunch,کوج,,दोपहर_का_खाना,
N,He has gone to attend an official luncheon.,luncheon,کوج,,दोपहर_का_खाना,
N,He has weak lungs.,lung,شِش نور,,फेफड़ा,
V,Offer higher salaries to lure more efficient workers.,lure,لالٕچ دِنۍ،کوٚژھ دیُن,,लालच_देना/लुभाना,
VI,They saw a man lurking in the dark.,lurk,ژوٗرِ روٗزِتھ,,छिप_कर_बैठना,
N,He lives in luxury.,luxury,عٲش,,भोग_विलास,
N,Gitagovind is a lyric.,lyric,کَلام,,गीतिकाव्य,
N,ma! I am leaving now.,ma,موج,,माँ,
N,Why don`t you buy a sewing machine?,machine,مِشیٖن,,मशीन/कल/यंत्र,
N,The clock has a very sound machinery.,machinery,اَوزار،مِشیٖنٔری،پُرزٕ,,कलयंत्र,
N,The government machinery needs to be restructured.,machinery,نِظام,,तंत्र,
Adj,He is a mad person.,mad,پاگَل،دٮ۪وانہٕ,,पागल,
Adj,"On hearing the arrival of her father, she ran like mad.",mad,پاگَل,,उत्तेजित,
Adj,Please don`t make me mad.,mad,شَرارَت,,गुस्सा,
N,May I carry your cases for you madame?,madame,بیگَم صٲب,,श्रीमती,
N,He is a madcap.,madcap,پاگَل,,पागल,
V,It maddens her that she could not make the trip.,madden,پاگَل گَژُھن(کَرُن)۔,,पागल_होना[करना],
N,Stardust is a monthly  magazine.,magazine,رِسالہٕ,,पत्रिका,
N,The magazine is empty of bullets.,magazine,میگزیٖن,,पिस्तौल_का_पेट,
N,We saw a magic show at the fair.,magic,بٲزۍ گَر,,जादू,
N,Her singing is pure magic.,magic,جان،جادوٗگٔری,,माया,
Adj,He has a magnetic personality.,magnetic,پُر کٔشِش,,चुम्बकीय,
Adj,Taj Mahal is a magnificent monument.,magnificent,عٲلی شان,,भव्य,
N,The magnitude of Newton`s discovery in the field of Physics cannot be denied.,magnitude,اہمِیَت,,महत्ता,
N,The magnitude of the task was overwhelming.,magnitude,وُسعت,,विस्तार,
N,A maid comes to clean the house.,maid,داے،نوکرٲنۍ,,नौकरानी,
N,She is a maid.,maid,خانٛدرٕ روٚس زٔنۍ,,अववाहिता,
N,The letter came in the mail today.,mail,ڈاک,,डाक,
N,A coat of mail was worn by the soldiers.,mail,بۄکھتَر,,कवच,
V,I mailed the letter three days back.,mail,ڈاک سوزُن,,डाक_से_भेजना,
V,Several soldiers were maimed in the war.,maim,کھۄڑ زَد گَژٕھنۍ,,अपंग_बनना,
Adj,This is the main street of a city.,main,اہم,,प्रमुख,
Adj,He is playing a main role in this film.,main,اہَم,,प्रमुख,
Adv,You are mainly to blame for the mistake.,mainly,پوٗرٕ پٲٹھۍ,,मुख्यतः,
V,Destpite his erratic behaviour she has been maintaining her friendship with him.,maintain,بَرقَرار تھاوُن,,बनाए_रखना,
V,It is a big job to maintain a school.,maintain,نَظَر گُزَر تھاوٕنۍ,,देखरेख_करना,
V,He has always maintained that he is not guilty.,maintain,قٲیِم روزُن,,निश्चयपूर्वक_कहना,
V,He earns enough to maintain his family.,maintain,پالُن,,भरण_पोषण_करना,
N,The maintenance of this building is very costly.,maintenance,لاگَتھ,,अनुरक्षण,
N,He has to pay maintenance to his ex-wife.,maintenance,نان نَفَق,,पोषण,
N,He has played a major role in my success.,major,اہم،بوٚڑ,,प्रधान,
N,The majority of the members voted for national conference.,majority,اَکثرِیَت,,अधिकांश,
N,This government does not have an absolute majority.,majority,اَکثرِیَت,,बहुमत,
V,2 and 2 make 4.,make,بَناوُن,,बनाना,
V,Will you please make a drink for me?,make,بَناوُن,,बना[बन],
V,This table is made of wood.,make,بَنیومُت,,बनना[बनाना],
N,The machinery is of an excellent make.,make,بَناوٹ،ساخت,,गठन,
N,God is the maker of this universe.,maker,بَناوَن وول,,रचनाकार,
N,The film beautifully depicts the making of a great man.,making,بَناوَٹ،بَناونُک طٔریٖقہٕ,,बनाने_की_प्रक्रिया,
N,He has the making of a successful  lawyer.,making,آثار،گۄن,,गुण,
Adj,My pet bitch has given birth to two male and three female pups.,male,نَر,,नर,
N,Males are in majority.,male,مَرٕد,,पुरुष,
N,I love my mama.,mama,موج,,माँ,
N,Man  is a social animal.,man,اِنسان,,आदमी,
N,All men are born free.,man,اِنسان،آدَم ذات,,मानव,
N,He is a self made man.,man,مہنیوٗ،نَفَر,,नर,
N,All officers and men in the Army are  brave.,man,جَوان,,सैनक,
N,My man will drive you home.,man,نوکَر ،مہنیوٗ,,नौकर,
V,The railway crossing at that point was not manned.,man,کامِہ لٔگِتھ آسُن,,आदमी_काम_पर_होना[लगाना],
V,He manages the shop single handed.,manage,سَمبالُن,,संभालना,
N,The government has a reputation for sound economic management.,management,بٔندُبَست،اِنتِظام,,प्रबंध,
N,My friend is a hotel manager.,manager,مَنیجَر,,प्रबंधक,
V,We have to manipulate the gears and levers of a machine.,manipulate,چَلاوٕنۍ,,चलाना,
V,He manipulates people with his sweet talk.,manipulate,۔۔۔,,जोड़_तोड़_करना,
N,The invention of the wheel was beneficial to the mankind.,mankind,آدَم ذات،اِنسان,,मानव_जाति,
N,He runs the business in a profitable manner.,manner,طٔریٖقہٕ,,ढंग,
N,She has very good manners.,manner,طور طٔریٖقہٕ,,आचरण,
N,He should not have behaved in this manner.,manner,طٔریٖقہٕ,,रीति,
N,The boy has no manners at all.,manners,تٔمیٖز،تہزیٖب,,व्यवहार,
N,There was a shortage of manpower in the factory.,manpower,نَفری,,मानवशक्ति,
N,He sat in front of the mantel.,mantel,أنٛگیٹھۍ ہُنٛد ٹھانٛڑٕ,,अँगीठी_पर_बनी_टाड,
N,He was wearing a beautiful mantle.,mantle,چۄگہٕ,,लबादा,
N,I saw the hills with a mantle of snow.,mantle,ژادَر,,आवरण,
V,He wants to manufacture cars.,manufacture,تَیار کَرُن،بَناوُن,,बनाना,
V,A news story was manufactured by unscrupulous journalists.,manufacture,بَناوٕنۍ،لٮ۪کھٕنۍ,,गढना,
N,My brother is a manufacturer of ornament boxes.,manufacturer,صنعت کار،کارخانہٕ وول,,निर्माता,
N,He had to incur heavily for the manufacturing processes.,manufacturing,بَناونٕکۍ طٔریٖقہٕ,,औद्योगिकीकरण,
Det,I saw many old manuscripts with my grandfather.,many,واریاہ,,बहुत_से,
Det,There were too many guests in the party.,many,سٮ۪ٹھاہ،واریاہ,,अनेक,
N,I want to see the  map of Indian sub-continent.,map,نَقشہٕ,,मानचित्र,
V,She mapped out her ideas for the new project.,map,تَفصِیلات تَیار کَرٕنۍ،نَقشہٕ بَناوُن,,योजना_बनाना,
V,The text is marred by careless errors.,mar,خَراب کَرُن,,बिगाड़,
N,The Taj Mahal is made of marble.,marble,سَنٛگہِ مَر مَر,,सगंमरमर,
N,He collects marbles as a hobby.,marble,بانٛٹہٕ,,कंचा,
V,The teacher ordered the students to march like a soldier.,march,مارٕچ کَرُن،تیز پَکُن,,प्रयाण_करना,
V,She marched into his office and demanded an apology.,march,تیز پَکُن,,तेज़ी_से_चलना,
N,He stole the mare and disappeared from the scene.,mare,گُرِنۍ,,घोडी,
Adj,These are marginal points and can be discussed later.,marginal,حٲشی دار,,हाशिये_का,
Adj,This product will have a marginal effect on the country`s economy.,marginal,واریاہ کَم,,बहुत_कम,
Adj,I love to see Marine animals.,marine,بحری،سَمَندٔری,,समुद्रीय,
N,There was a coffee mark on my white skirt.,mark,نِشانہٕ،داغ,,निशान,
N,He got the highest marks in maths.,mark,نَمبَر,,अंक,
N,The arrow missed its mark.,mark,نِشانہٕ،آے,,निशाना,
N,The war has left its mark on the country.,mark,مُہَر,,छाप,
N,He took off his hat as a mark of respect for my dead husband.,mark,نِشٲنی,,महत्त्व,
V,Mark the items which have been checked.,mark,نِشانہٕ تھاوُن,,पर_निशान_लगाना,
V,"You will be in trouble, just mark my words.",mark,غور کَرُن،ژٮ۪تَس تھاوُن,,पर_ध्यान_देना,
Adj,He has made a marked contribution in the field of science.,marked,قٲبلہِ زِکِر,,सुस्पष्ट,
N,Motorway marker posts show the way to the nearest telephone.,marker,نِشان,,निशान,
N,I have to go to the market to buy some vegetables.,market,بازَر،مٔنٛڑی,,बाज़ार,
N,Get these things from the market.,market,بازَر,,हाट,
N,She has gone to the market to buy vegetables.,market,بازَر,,हाट,
N,We should adopt high powered marketing strategies.,marketing,خٔریٖد فَروخت,,विपणन,
N,His marriage is on next Sunday.,marriage,خاندَر،،نیتٕھر,,शादी,
Adj,Only married couples are allowed there.,married,خاندرٕ وٲلۍ,,विवाहित,
V,Her uncle forced her to marry a rich person.,marry,خاندَر کَرُن,,विवाह_करना,
V,The children were marshalled into the ground by their teachers.,marshal,لٲنہِ تھاوٕنۍ,,क्रम_से_रखना,
N,We need a mason to complete the building.,mason,دٔسِل,,राजगीर,
N,There were masses of dark clouds in the sky.,mass,اَمبار,,परिमाण,
N,There were masses of people at the funeral.,mass,جَمات،کٔثیٖر,,समूह,
N,You should go to the mass.,mass,ماس,,क्रीस्त_याग,
V,The general massed his troops for final attack.,mass,جَمع کَرُن,,एकत्र_होना[करना],
N,There were masses of people at the ceremony.,masses,جَمات،کٔثیٖر,,जनसाधारण,
Adj,It is a massive machine.,massive,گوٚب,,भारी,
N,He is the master of the house.,master,خانٛدار،مٲلِک,,स्वामी,
N,The museum had some of the old masters`s classical paintings.,master,وۄستاد،وۄستہٕ,,उस्ताद/शिक्षक,
N,She kept the dead body on the mat.,mat,وَگُو،چَٹٲے،سَترٔنٛڑ,,चटाई,
V,This shirt does not match with my pants.,match,رَلُن,,मिलना,
V,He should match the things first.,match,مِلاوُن,,मिलाना,
N,I would like to watch a cricket match.,match,میچ,,मैच,
N,He would play a foodball match on sunday.,match,مُقابلہٕ,,मुकाबला,
N,I`ve found a vase that`s an exact match of one we already have.,match,جوٗرۍ,,जोड़ीदार,
N,She made a good match when she married him.,match,جوٗرۍ,,जो़डा,
N,Hard work was a material in his success.,material,سامان,,द्रव्यात्मक,
Adj,She has a fine mathematical brain.,mathematical,رِیٲضی,,गणित_सम्बन्धी,
N,He is poor in mathematics.,mathematics,حِساب,,गणित,
Adj,I like matt shades.,matt,چَمکہِ بَغٲر,,निष्प्रभ,
V,It really matters a lot.,matter,اہمِیَت آسٕنۍ,,महत्वपूर्ण_होना,
N,I don`t discuss private matters with my collegues.,matter,معاملہٕ,,विषय,
N,This is my personal matter.,matter,معاملہٕ,,द्रव्य,
N,"At times, he seems to have maturity beyond his years.",maturity,بالِغی,,प्रौढ़ता,
Adj,The maximum temperature recorded in July was 30 degree C.,maximum,زیادٕ کھۄتہٕ زیادٕ,,अधिकतम,
N,The maximum load for this truck is one ton.,maximum,زیادٕ کھۄتہ ٕزیادٕ,,महत्तम,
MV,This medicine may soothe your cough.,may,ما,,सम्भवतः,
Adv,May be I will leave tomorrow.,maybe,شایَد,,शायद,
N,People were annoyed when they found that the Mayor had deceived them.,mayor,صَدرِبَلدِیَت,,महापौर,
Pron,Can you give me this chair?,me,مےٚ,,मुझको,
Pron,I requested her to give the books back to me.,me,مےٚ,,मुझ,
N,The sight of thousands of sheep in the lush green meadow is enthralling.,meadow,گاسہٕ چَرٲے,,घास_का_मैदान,
N,A meal should be taken at the proper time.,meal,کھٮ۪ن،غزا,,भोजन,
N,"If you want to loose weight, stop eating between meals.",meal,کھٮ۪ن,,भोजन_का_समय,
N,They needed a good mean run rate to win.,mean,اوسط,,औसत,
N,You should find a means to reach there.,mean,طٔریٖقہٕ،ذٔرِیعہ,,साधन,
V,You should find a means to reach there.,mean,ذٔرِیعہ ژھانٛڑُن،طٔریٖقہٕ ژھانٛڑُن,,अर्थ_हो,
V,I didn`t mean to insult him.,mean,مَطلَب آسُن،،مَقصَد آسُن,,मतलब_होना,
Adj,He is a very mean person.,mean,کٔمیٖنہٕ،بَد ذات,,कमीना,
N,The meaning of the phrase was not very clear to me.,meaning,مَطلَب،معنی,,अर्थ,
Adj,The sentences you make should be meaningful.,meaningful,معنی دار,,अर्थपूर्ण,
Adj,It is meaningless to walk on without a goal.,meaningless,مَطلَبہٕ روٚس، بےٚ مَطلَب,,अर्थहीन,
N,The means are more important than the achievements.,means,ذٔرِیعہ,,साधन,
N,He does not have the means to support the professional education of his children.,means,آمدٔنی،گُزارٕ,,पैसा - संपति,
Adv,Meanwhile the people kept prospering.,meanwhile,أتھۍ دوران,,इसी_दौरान,
V,He measured the length of the room.,measure,مینُن,,नापना,
V,Can one really measure the ability of a candidate in a ten minute interview?,measure,پَتَہ لَگاوُن،پَے کَڑُن,,निर्णय_करना/पता_लगाना,
V,The lenght of the trouser measures 41 inches.,measure,زیچَھر,,नाप_का_होना,
V,She never measures the effect of what she is going to say.,measure,۔۔۔,,नाप_तोल_करना,
N,It is advisable to ascertain the correct measure of everything which we purchased.,measure,مِقدار,,माप,
Adj,His answers are always well measured.,measured,میٖنِتھ توٗلِتھ,,नपा-तुला,
N,The tailor made a mistake in the measurement.,measurement,ناپ,,नाप,
N,The doctors have advised that red meat may be harmful to the heart.,meat,ماز,,माँस,
N,The fifth chapter of the book is actually the meat of the author`s argument.,meat,خاص حِصہٕ,,प्रमुख_अंश,
N,It is better to consult a mechanic.,mechanic,میک نِک،کٲرۍ گَر,,मैकैनिक/कारीगर,
Adj,The students were being taught to read in a mechanical way.,mechanical,مِشیٖنی,,यांत्रक,
N,Parents have expressed doubts about school students` capability to cope with the complex subject of Mechanics.,mechanics,میک نِکٕس,,यंत्रविज्ञान,
V,There is a race to mechanise things today.,mechanise,مِشیٖنَن ہُنٛد اِستعمال کَرُن,,मशीनीकरण,
N,Not only the goal but the mechanism to achieve it should also be right.,mechanism,طٔریٖقہٕ,,तरीका,
Adj,Medical science has made tremendous progress in last few years.,medical,طِبی,,आयुर्विज्ञान_संबन्धी,
N,He has created Medical history.,medical,طِبی,,आयुर्विज्ञान,
N,The medicine is beyond my means.,medicine,دَوا,,औषधी,
N,We can learn a lot from medieval times history.,medieval,مٔنٛزِم,,मध्यकालीन,
N,They told the story through the medium of dance.,medium,ذٔرِیعہ,,माध्याम,
Adj,She has a medium height.,medium,دَرمِیٲنی,,मध्य,
Adj,"I don`t like too bright or too light colours, medium suits me fine.",medium,دَرمِیٲنی,,मध्य,
V,I would like to meet her first.,meet,مِلُن،سَمکھُن,,मिलना,
V,The Prime Minister met his cabinet for the talks.,meet,مُلاقات کَرٕنۍ,,से_भेंट_करना,
V,The Indian team met the Australians in the finals.,meet,مُقابلہٕ کَرُن,,सामना_करना,
V,It is impossible to meet the deadline under the present circumstances.,meet,پوٗرٕ کَرُن,,पूरा_कर_पाना,
N,The meeting was postponed due to the strike.,meeting,اِجلاس,,बैठक,
N,The meeting of the two friends after a gap of ten years was accidental.,meeting,مِلُن،سَمکھُن,,मिलन,
N,Her voice is full of melody.,melody,میٖٹھ,,मधुर_,
V,"Eat the ice-cream, don`t wait for it to melt.",melt,گَلُن,,पिघलाना[पिघलना],
N,Only a member is allowed in the club.,member,رُکُن،مِمبَر,,सदस्य,
N,He has finally received his membership card.,membership,میمبَرشِپ,,सदस्यता,
N,India Gate is a memorial for those who died to keep us safe.,memorial,یادگار,,स्मारक,
N,She has a sharp memory.,memory,یاداشت،یادٕ ووٚتُر,,स्मृति/याददाश्त,
V,Please mend my trousers.,mend,ٹھیٖک کَرُن،مَرمَت کَرٕنۍ,,ठीक_करना,
V,"There is no need of mending my shirt, I have rejected it.",mend,ٹھیٖک کَرٕنۍ,,ठीक_करना,
Adj,He is going through a lot of mental anguish.,mental,دٮ۪مٲغی,,मानसक,
Adv,He is not mentally fit.,mentally,دٮ۪مٲغی طور ،کاڈٮ۪و کِنۍ,,मानसिक_रूप_से,
Adj,"He is mentally challenged, not retarded.",mentally,ذہنی طور,,मानसिक_रूप_से,
N,Even the mention of his name makes her blush.,mention,ذِکِر,,उल्लेख,
V,Don`t mention about my trip to anyone.,mention,ذِکِر کَرُن,,उल्लेख_करना,
N,I`ve yet to see another mercenary like him.,mercenary,کِرایہِ پٮ۪ٹھ سِپاہ,,किराये_का_सैनक,
N,He is a merchant.,merchant,کار بٲرۍ،سوداگَر,,व्यापारी,
N,One must show mercy to others.,mercy,رحَم,,दया,
N,"Go jump in the mere, you`ll soon learn swimming.",mere,سَر,,पोखरा,
Adj,A mere Rs. 50/- cannot feed my family.,mere,صِرِف،خٲلی,,केवल,
Adv,She must be merely sixteen.,merely,محض،بَس,,सिर्फ,
N,The merger was okayed by the board.,merger,میُل,,विलयन,
N,He has obtained this job on merit.,merit,قٲبلِیَت,,योग्यता,
Adj,The party was merry.,merry,خۄشوٕنۍ,,आनन्दपूर्ण,
N,Lets eat in the mess.,mess,لَنٛگَر,,भोजनालय,
N,Please clear the mess.,mess,رۄلہٕ,,गड़बड़ी,
N,He is in a real mess.,mess,مُصیٖبَت،پَریشٲنی،مُشکِل,,झंझट,
N,They asked the kids to clean the mess in the room.,mess,ژھۄٹھ,,गंदगी,
N,I just gave him a message.,message,خَبَر،پٲغام,,संदेश,
N,Luckily the message reached on time.,message,خَبَر،پٲغام,,समाचार,
N,The messenger lost his way.,messenger,خَبَر دِنہٕ وول,,संदेशवाहक,
N,Gold is a precious metal.,metal,دھات,,धातु,
Adj,He published a paper on metaphysical theory.,metaphysical,۔۔۔,,तात्त्वक,
V,He regularly meted out punishment for his pupils.,mete,دیُن,,भोगना,
N,Please use another meter as this one is giving an incorrect reading.,meter,میٖژٕ،میٖٹَر,,मापक,
N,The method she adopted was correct.,method,طٔریٖقہٕ,,प्रणाली/तरीका,
N,The metre was very catchy.,metre,۔۔۔,,छंद,
N,I bought two metres of cotton cloth for her.,metre,میٖٹر,,मीटर,
Adj,We follow a metric system of measurement.,metric,میٖٹرَس مُتعلِق,,मीटर_का,
Adj,Delhi is the most polluted metropolitan city of India.,metropolitan,بوٚڑ شہَر,,महानगरीय,
N,Microscope helps to see the micro-organisms clearly.,microscope,مَیکرٛاس کوپ،خُردبیٖن,,सूक्ष्मदर्शी,
N,Don`t leave things in the middle of the room.,middle,مَنٛزباگ,,मध्यस्थल,
Adj,You have to reach some middle point in this case.,middle,مٔنزِم,,बीच_[का],
N,The middle-class is not happy with the budget.,middle-class,دَرمِیٲنی طَبقہٕ,,मध्यमवर्ग,
N,He comes from a middle-class family.,middle-class,دَرمِیٲنی طَبقہٕ,,मध्यमवर्गीय,
N,The earthquake at midnight woke up everyone.,midnight,نٮ۪صٕف رات,,मध्यरात्री,
N,She feels uncomfortable in the midst of strangers.,midst,مَنٛز باگ،دَرمِیان,,बीच,
N,He struggled with all his might to free himself from under the car.,might,طاقَت،زور,,बल,
AuxV,"Call before you go, as he might not be expecting you.",might,ما,,होगा{शायद},
AuxV,He might get upset if we do not go there.,might,ما,,सकना,
Adj,He was a mighty king.,mighty,طاقَت وَر,,बलशाली,
Adv,She is mighty pleased with his achievements.,mighty,واریاہ,,बहुत,
N,No one heard a word as the mike was not functioning.,mike,مایِک,,माक,
Adj,He has a very mild nature.,mild,نَرٕم,,विनम्र,
Adj,He was given a mild punishment.,mild,معموٗلی,,नरम,
Adj,The taste of the food is mild in this restaurant.,mild,سادٕ,,सादा,
N,He was advised to jog a mile everyday.,mile,میٖل,,मील,
N,The vehicle had a good mileage.,mileage,مَیلیج,,मीलों_की_संख्या,
N,Ten militants were killed in police firing.,militant,جَنٛگ جوٗ،دہشَت گَرٕد،مُجٲہِد,,उग्रवादी,
Adj,The militant elements in the organization triggered the controversy.,militant,شَر پَسَنٛد عُنصر,,आक्रामक,
N,The military helped to restore peace in the region.,military,فوج,,सेना,
N,Drink a glass of milk everyday.,milk,دۄد,,दूध,
V,Some goats seem to milk better than others.,milk,دۄد دیُن,,दुहना,
N,John is working in a mill.,mill,مِل,,मिल,
N,I have to grind flour in a mill.,mill,گرٛٹہٕ,,चक्की,
V,Mill the wheat properly.,mill,پِِہُن،پیٖسُن,,पीसना,
N,The miller was a generous man.,miller,مِلہِ ہُنٛد مٲلِک,,मिल_मालक,
N,Only a few milligrams of the drug were lethal enough.,milligram,مِلہِ گرٛام,,मिलिग्राम,
